subject_code,subject_name
BBL6E5,SECURITIES LAWS
BBL865,CRIMINAL LAW - II
BBL866,CIVIL PROCEDURE CODE AND LIMITATION ACT
BBL883,LAW OF E-COMMERCE
BBL884,INTERPRETATION OF STATUTES
BBL8E1A,INTERNATIONAL ENVIRONMENTAL LAW
BBL8E1B,MEDIA LAW
BBL8E2A,LAW OF COPYRIGHT
BBL8E2B,WORLD TRADE ORGANIZATION
BBL8E3A,CENTER - STATE RELATIONS AND CONSTITUTIONAL GOVERNANCE
BBL8E3B,REFUGEE LAW
BBL8E4A,LAW OF NEGOTIABLE INSTRUMENTS
BBL8E4B,INTERNATIONAL COMMERCIAL ARBITRATION
BBL8E5A,LAW AND CAPITAL PUNISHMENT
BBL8E5B,LAW OF TRADEMARKS
BOT231,PLANT ANATOMY AND EMBRYOLOGY
BOT251,PLANT ANATOMY AND EMBRYOLOGY LAB
BOT431,PLANT PHYSIOLOGY AND PLANT ECOLOGY
BOT451,PRACTICAL IN PLANT PHYSIOLOGY AND PLANT ECOLOGY
BOT641A,"PLANT BIOTECHNOLOGY, MOLECULAR BIOLOGY AND BIOINFORMATICS"
BOT641B,RESEARCH METHODOLOGY
BOT642A,HORTICULTURAL PRACTICES AND POST-HARVEST TECHNOLOGY
BOT642B,MEDICINAL BOTANY AND INTELLECTUAL PROPERTY RIGHTS
BOT651A,"PRACTICAL IN PLANT BIOTECHNOLOGY, MOLECULAR BIOLOGY AND BIOINFORMATICS"
BOT651B,PRACTICAL IN RESEARCH METHODOLOGY
BOT652,PROJECT IN BOTANY
BTY231,BIOCHEMISTRY AND CELL BIOLOGY
BTY251,PRACTICAL IN BIOCHEMISTRY AND CELL BIOLOGY
BTY431,GENETIC ENGINEERING
BTY451,PRACTICAL IN GENETIC ENGINEERING
BTY632,ANIMAL BIOTECHNOLOGY
BTY641A,BIOPROCESS ENGINEERING
BTY641B,ENVIRONMENTAL BIOTECHNOLOGY
BTY651A,PRACTICAL IN BIOPROCESS ENGINEERING
BTY651B,PRACTICAL IN ENVIRONMENTAL BIOTECHNOLOGY
BTY652,PROJECT IN BIOTECHNOLOGY
CHE231,CHEMISTRY - II PHYSICAL AND ORGANIC CHEMISTRY - I
CHE251,CHEMISTRY PRACTICALS - II
CHE431,CHEMISTRY - IV ORGANIC AND ANALYTICAL CHEMISTRY
CHE451,INORGANIC QUANTITATIVE ANALYSIS
CHE641A,CHEMISTRY - VIIA ADVANCED INORGANIC CHEMISTRY
CHE641B,CHEMISTRY - VIIB: BIOCHEMISTRY
CHE642A,CHEMISTRY - VIIIA APPLIED CHEMISTRY
CHE642B,CHEMISTRY - VIIIB: ENVIRONMENTAL CHEMISTRY (E-COURSE)
CHE652A,ADVANCED INORGANIC QUANTITATIVE ANALYSIS
CHE652B,BIOCHEMISTRY PRACTICAL
CHE681,PROJECT IN CHEMISTRY
ZOO231,COMPARATIVE ANATOMY AND DEVELOPMENTAL BIOLOGY OF VERTEBRATES
ZOO251,PRACTICAL IN COMPARATIVE ANATOMY AND DEVELOPMENTAL BIOLOGY OF VERTEBRATES
ZOO431,RESEARCH METHODOLOGY AND ENTOMOLOGY
ZOO451,PRACTICAL IN RESEARCH METHODOLOGY AND ENTOMOLOGY
ZOO631,DEVELOPMENTAL BIOLOGY AND ORGANIC EVOLUTION
ZOO632,ANIMAL PHYSIOLOGY AND ETHOLOGY
ZOO651,PRACTICAL IN DEVELOPMENTAL BIOLOGY AND ORGANIC EVOLUTION
ZOO652,PRACTICAL IN ANIMAL PHYSIOLOGY AND ETHOLOGY
CSC231,DATA STRUCTURES AND OPERATING SYSTEMS
CSC251,DATA STRUCTURES LAB
CSC431,OBJECT ORIENTED PROGRAMMING USING JAVA
CSC451,JAVA PROGRAMMING LAB
CSC631,COMPUTER NETWORKS
CSC641B,COMPUTER ARCHITECTURE
CSC641C,DESIGN AND ANALYSIS OF ALGORITHMS
CSC641D,UNIX OPERATING SYSTEMS
CSC651,PROJECT LAB
ELE231,LINEAR AND DIGITAL INTEGRATED CIRCUITS
ELE251,LINEAR AND DIGITAL INTEGRATED CIRCUITS LAB
ELE431,ELECTRONIC COMMUNICATION SYSTEMS
ELE451,PRACTICAL - IV
ELE631,MICROCONTROLLERS AND EMBEDDED SYSTEMS
ELE632,INDUSTRIAL ELECTRONICS
ELE651,PRACTICAL - VII
ELE652,PRACTICAL-VIII-PROJECT WORK
MAT231,DIFFERENTIAL EQUATIONS
MAT251,DIFFERENTIAL EQUATIONS USING MAXIMA
MAT431,CALCULUS OF SEVERAL VARIABLES
MAT451,MULTIVARIATE CALCULUS USING MAXIMA AND SCILAB
MAT631,REAL AND COMPLEX ANALYSIS
MAT632,FOURIER SERIES AND INTEGRAL TRANSFORMS
MAT651,ANALYSIS USING MAXIMA
MAT652,FOURIER SERIES AND INTEGRAL TRANSFORMS USING MAXIMA AND SCILAB
MAT633,OPERATIONS RESEARCH
MAT653,OPERATIONS RESEARCH USING SCILAB
STA231,STATISTICAL METHODS
STA431,STATISTICAL INFERENCE - II
STA631,TIME SERIES ANALYSIS AND FORECASTING TECHNIQUES - I
STA632,APPLIED STATISTICS
ECO632,INTRODUCTION TO ECONOMETRICS
ECO633,FINANCIAL ECONOMICS
STAT631,TIME SERIES ANALYSIS AND FORECASTING TECHNIQUES - II
STAT632,STATISTICS FOR INDUSTRIAL MANAGEMENT
PHY231,ELECTRICITY AND MAGNETISM
PHY251,PHYSICS LABORATORY - II
PHY431,OSCILLATIONS AND OPTICS
PHY451,PHYSICS LABORATORY - IV
PHY631,STATISTICAL PHYSICS AND SOLID STATE PHYSICS
PHY632,"ASTROPHYSICS, ATOMIC, MOLECULAR AND NUCLEAR PHYSICS"
PHY651,MODERN PHYSICS LABORATORY II
PHY652,MODERN PHYSICS LABORATORY III
PSB214,SERVICE LEARNING
PSB215,NEUROANATOMY LAB
PSB231,DEVELOPMENTAL PSYCHOLOGY
PSB232,HISTORY AND SYSTEMS OF PSYCHOLOGY
PSB263,MEDICINAL CHEMISTRY AND PHARMACOKINETICS
PSB415,RESEARCH METHODS LAB - 1
PSB431,HEALTH PSYCHOLOGY
PSB432,PERSONALITY PSYCHOLOGY
PSB433,PSYCHOPATHOLOGY
PSB464,GENETICS AND BIO INFORMATICS
AU631,DESIGN OF AUTOMOTIVE COMPONENTS
AU632,AUTOMOTIVE ENGINE SYSTEMS
AU634,DYNAMICS OF MACHINES
AU635,ALTERNATE FUELS AND ENERGY SYSTEMS
AU636E5,AUTOMOTIVE AERODYNAMICS
AU651,AUTOMOTIVE ENGINE TESTING LABORATORY
AU652,AUTOMOTIVE MAINTENANCE AND SERVICING LABORATORY
CE134,BASICS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS
CH132,APPLIED CHEMISTRY
CS134,BASICS OF COMPUTER SCIENCE AND ENGINEERING
EC133,BASIC ELECTRONICS
EE133,BASICS OF ELECTRICAL ENGINEERING
EG135,ENGINEERING GRAPHICS
MA131,MATHEMATICS - I
MA431,MATHEMATICS - IV
ME135,BASICS OF MECHANICAL ENGINEERING
ME151,WORKSHOP PRACTICE
ME432,APPLIED THERMODYNAMICS
ME433,KINEMATICS OF MACHINES
ME434,ADVANCED MANUFACTURING TECHNOLOGY
ME435,FLUID MECHANICS
ME436,ENGINEERING METROLOGY
ME451,MECHANICAL MEASUREMENTS AND METROLOGY LABORATORY
ME452,METAL CUTTING AND PRODUCTION LABORATORY
ME453,AUTOMATION LAB - II
ME633,FINITE ELEMENT METHODS
PD136,PROFESSIONAL DEVELOPMENT-I
PH132,APPLIED PHYSICS
BTCY01,CYBER SECURITY
CE432,CONCRETE TECHNOLOGY
CE433,STRUCTURAL ANALYSIS - I
CE434,ADVANCED SURVEYING
CE435,HYDRAULICS AND HYDRAULIC MACHINES
CE436,BUILDING PLANNING AND DRAWING
CE451,HYDRAULICS AND HYDRAULIC MACHINERY LABORATORY
CE452,CONCRETE TECHNOLOGY LABORATORY
CE631,ENVIRONMENTAL ENGINEERING-I
CE632,DESIGN AND DRAWING OF RCC STRUCTURES
CE633,TRANSPORTATION ENGINEERING-II
CE634,GEOTECHNICAL ENGINEERING-II
CE635,IRRIGATION ENGINEERING AND HYDRAULIC STRUCTURES
CE636A,MATRIX METHOD OF STRUCTURAL ANALYSIS
CE636B,TRAFFIC ENGINEERING
CE651,GEOTECHNICAL ENGINEERING LABORATORY
CE652,EXTENSIVE SURVEY PROJECT
CE831,PAVEMENT DESIGN
CE832,DESIGN OF MASONRY STRUCTURES
CE833,ENVIRONMENTAL IMPACT ASSESSMENT
CE871,PROJECT WORK
CE872,COMPREHENSION
CI,THE CONSTITUTION OF INDIA
CE651,GEOTECHNICAL ENGINEERING LAB
MTCE232,EARTHQUAKE RESISTANT STRUCTURES
CS632,DIGITAL SIGNAL PROCESSING
CS633,SYSTEM SOFTWARE
CS634,SOFTWARE ENGINEERING
CS635,NUMERICAL METHODS
CS636,GRAPHICS AND MULTIMEDIA
CS651,GRAPHICS AND MULTIMEDIA LAB
CS652,SYSTEM SOFTWARE LAB
MTCS231,DATABASE TECHNOLOGY
CS431,PROBABILITY AND QUEUING THEORY
CS432,DATA STRUCTURES AND ALGORITHMS
CS433,DATABASE MANAGEMENT SYSTEMS
CS434,MICROPROCESSORS AND ITS APPLICATIONS
CS435,INTERNET OF THINGS
CS451,DATA STRUCTURES AND ALGORITHMS LABORATORY
CS452,DBMS LABORATORY
CS631B,DATA WAREHOUSING AND MINING
CS631C,RESOURCE MANAGEMENT TECHNIQUES
CS631F,ADVANCED DATABASES
CS651,GRAPHICS AND MULTIMEDIA LABORATORY
CS652,SYSTEM SOFTWARE LABORATORY
CS831E,MOBILE COMPUTING
CS832C,SOFTWARE QUALITY MANAGEMENT
CS832D,ADVANCED JAVA PROGRAMMING
CS833C,PROFESSIONAL ETHICS AND HUMAN VALUES
CS833D,DIGITAL IMAGE PROCESSING
CS871,PROJECT WORK
CS872,COMPREHENSION
CY01,CYBER SECURITY
PD436,PROFESSIONAL DEVELOPMENT - II
EE431,INDUCTION AND SYNCHRONOUS MACHINES
EE432,ELECTRICAL POWER GENERATION AND DISTRIBUTION
EE433,SIGNALS AND SYSTEMS
EE434,CONTROL SYSTEMS
EE435,ELECTRICAL POWER TRANSMISSION
EE451,CONTROL SYSTEMS LABORATORY
EE452,INDUCTION AND SYNCHRONOUS MACHINES LABORATORY
EE631,MECHANICAL TECHNOLOGY AND INTRODUCTION TO MECHATRONICS
EE632,MICROCONTROLLERS
EE633,LINEAR INTEGRATED CIRCUITS
EE634,MEASUREMENTS AND INSTRUMENTATION
EE635,DESIGN OF ELECTRICAL APPARATUS
EE651,MEASUREMENTS AND INSTRUMENTATION LABORATORY
EE652,MICROPROCESSOR AND MICROCONTROLLER LABORATORY
EE653,LINEAR INTEGRATED CIRCUITS LABORATORY
EE831,DISCRETE CONTROL SYSTEMS
EE832D,POWER APPARATUS DESIGN
EE833B,NEURAL NETWORK AND FUZZY LOGIC CONTROL
EE871,PROJECT WORK
EE872,COMPREHENSION
MTEE231,POWER ELECTRONICS IN POWER SYSTEM
EC632,MICROCONTROLLERS
EC633,CONTROL SYSTEMS
EC634,TRANSMISSION LINES AND WAVEGUIDES
EC635,OPTICAL COMMUNICATION
EC636,DIGITAL COMMUNICATION
EC651,MICROPROCESSORS AND MICROCONTROLLERS LABORATORY
EC652,CONTROL SYSTEMS LABORATORY
MTEC232,MULTIMEDIA COMPRESSION TECHNIQUES
EC432,COMPUTER ORGANIZATION
EC433,LINEAR SYSTEMS AND SIGNALS
EC434,ELECTRONICS CIRCUITS - II
EC435,LINEAR INTEGRATED CIRCUITS
EC451,ELECTRONICS CIRCUITS - II LABORATORY
EC452,LINEAR INTEGRATED CIRCUITS LABORATORY
EC631,NUMERICAL METHODS
EC633,LINEAR INTEGRATED CIRCUITS
EC652,LINEAR INTEGRATED CIRCUITS LABORATORY
EC831,WIRELESS NETWORKS
EC832,INTRNET AND JAVA
EC833 B,ROBOTIC SYSTEM DESIGN
EC833A,EMBEDDED SYSTEMS
EC871,PROJECT WORK
EC872,COMPREHENSION
MA432,PROBABILITY AND QUEUING THEORY
IT631B,DATA WAREHOUSING AND MINING
IT631C,RESOURCE MANAGEMENT TECHNIQUES
IT631F,ADVANCED DATABASES
IT632,DIGITAL SIGNAL PROCESSING
IT633,SYSTEM SOFTWARE
IT634,SOFTWARE ENGINEERING
IT635,NUMERICAL METHODS
IT636,GRAPHICS AND MULTIMEDIA
IT651,GRAPHICS AND MULTIMEDIA LABORATORY
IT652,SYSTEM SOFTWARE LABORATORY
IT831E,MOBILE COMPUTING
IT832C,SOFTWARE QUALITY MANAGEMENT
IT832D,ADVANCED JAVA PROGRAMMING
IT833C,PROFESSIONAL ETHICS AND HUMAN VALUES
IT833D,DIGITAL IMAGE PROCESSING
IT871,PROJECT WORK
IT872,COMPREHENSION
MTIT231,DATA BASE TECHNOLOGY
ME631,DESIGN OF MACHINE ELEMENTS - II
ME632,HEAT AND MASS TRANSFER
ME634,MECHATRONICS AND MICROPROCESSORS
ME635E5,NON TRADITIONAL MACHINING
ME635E6,PROJECT MANAGEMENT
ME636,HYDRAULICS AND PNEUMATICS
ME651,HEAT AND MASS TRANSFER LABORATORY
ME652,COMPUTER AIDED MODELING AND ANALYSIS LABORATORY
ME831,OPERATIONS MANAGEMENT
ME832,CONTROL ENGINEERING
ME833E5,ORGANIZATIONAL BEHAVIOUR AND PROFESSIONAL COMMUNICATION
ME833E6,AUTOMOTIVE ENGINEERING
ME871,PROJECT WORK
ME872,COMPREHENSION
MTME234,FRACTURE MECHANICS
MCN231,COMMUNICATION RESEARCH METHODOLOGY
MCN232,FILM STUDIES
MCN233,ADVERTISING (IMC)
MCN234,DEVELOPMENT COMMUNICATION
MCN261,INTERNSHIP - PRINT / RADIO / ONLINE MEDIA
MCN271,DIGITAL VIDEO PRODUCTION
MCN272,SPECIALISATION AND RESEARCH PAPER
MCN273,INTRODUCTION TO THEATRE AND PERFORMING ARTS
MCN431,MEDIA MANAGEMENT
MCN432,MEDIA CRITICISM
MCN461,INTERNSHIP : INDUSTRY EXPOSURE
MCN471,ENTREPRENEURSHIP
MCN481,DISSERTATION
MCN491,COMPREHENSIVE VIVA VOCE
MEC231,MACROECONOMIC THEORY AND POLICY - I
MEC232,ENVIRONMENT AND RESOURCE ECONOMICS
MEC233,ADVANCED MATHEMATICAL ECONOMICS
MEC234,ECONOMETRIC METHODS
MEC241A,ECONOMICS OF BANKING AND INSURANCE
MEC241D,REGIONAL AND URBAN ECONOMICS
MEC431,OPERATIONS RESEARCH
MEC432,ECONOMICS OF LABOUR MARKETS
MEC433,ECONOMICS OF INDUSTRIAL ORGANIZATION
MEC434,ENVIRONMENT AND RESOURCE ECONOMICS
MEC435,DISSERTATION
MEC441A,INTERNATIONAL FINANCE
MEC441B,REGIONAL AND URBAN ECONOMICS
MSA231,MODERN SOCIOLOGICAL PERSPECTIVES
MSA232,SOCIAL STATISTICS
MSA233,QUALITATIVE RESEARCH METHODS
MSA234,ORGANIZATIONAL BEHAVIOR
MSA235,SOCIOLOGY OF CHANGE AND DEVELOPMENT
MSA431,SOCIAL WELFARE ADMINISTRATION
MSA432,PROJECT MANAGEMENT AND EVALUATION
MSA433,SOCIAL DEMOGRAPHY
MSA434A,PUBLIC HEALTH
MSA434B,SOCIOLOGY OF MEDIA
MSA435,DISSERTATION II
MSC231,MENTAL HEALTH AND PSYCHOLOGICAL DISORDERS
MSC232,COUNSELLING SKILLS AND APPLICATION
MSC233,BIBLICAL SPIRITUALITY 2: NT PERSPECTIVES
MSC234,ACADEMIC SPIRITUALITY 2: MYSTICISM AS WAY TO TRANSCENDENCE
MSC235,"SEXUALITY, CELIBACY, AND INTIMACY"
MSC236,SPIRITUAL GUIDANCE
MSC251,PRACTICUM I: INDIVIDUAL AND GROUP ASSESSMENT SKILLS
MSC431,PASTORAL ADMINISTRATION AND MANAGEMENT
MSC432,TEACHINGS OF THE CHURCH AND CANONICAL DIRECTIVES ON FORMATION
MSC439,CASE CONFERENCE
MSC451,PRACTICUM 3: SPIRITUAL COMPETENCIES AND SPIRITUAL DIRECTION
MSC461,COMPREHENSIVE WRITTEN
MSC471,INTERNSHIP IN COUNSELLING
MSC481,THESIS
MSC494,INTERNSHIP IN FORMATION
MAE201,ADVANCED EDUCATIONAL PSYCHOLOGY
MAE203,CONTEMPORARY ISSUES IN EDUCATION
MAE206,SEMINAR
MAE208,EDUCATIONAL PLANNING AND ORGANIZATION
MAE209,RESEARCH METHODOLOGY - PART II
MAE210,ELEMENTARY AND HIGHER EDUCATION IN INDIA
MAE281,SERVICE LEARNING
MAE401,EDUCATIONAL LEADERSHIP AND MANAGEMENT
MAE403,GUIDANCE AND COUNSELING
MAE404,TEACHER EDUCATION
MAE405,DISSERTATION AND VIVA VOCE
MAE406,ADVANCED EDUCATIONAL TECHNOLOGY
MEL231,GENDER STUDIES
MEL232,CONTEMPORARY CRITICAL THEORY
MEL233,TWENTIETH CENTURY AMERICAN LITERATURE
MEL234,ENGLISH LANGUAGE TEACHING
MEL235,MASS COMMUNICATION - II
MEL431,DISSERTATION / PROJECT
MEL432,CONTEMPORARY INDIAN WRITING IN ENGLISH
MEL433,CULTURAL DEBATES
MEL434,FILM STUDIES
MEL435A,TRANSLATION STUDIES
MEL435B,WRITING FOR CINEMA
MEL435C,POPULAR CULTURE
MPA231,BHARATHANATYAM LEVEL - II
MPA232,MUSIC LEVEL - II
MPA233,NATTUVANGAM
MPA234,MAKE UP AND COSTUME DESIGN
MPA235,AESTHETICS LEVEL - II
MPA236,RESEARCH METHODS IN PERFORMANCE STUDIES
MPA251,BHARATHANATYAM LEVEL - II
MPA252,MUSIC LEVEL - II
MPA431,BHARATHANATYAM LEVEL - IV
MPA432,CLASSICAL AND FOLK DANCE FORMS OF INDIA
MPA433,ART MANAGEMENT
MPA434,CREATIVE PRODUCTION
MPA435,DISSERTATION
MPA451,BHARATHANATYAM LEVEL - IV
MPA452,CLASSICAL AND FOLK DANCE FORMS OF INDIA
MPL-SW2,SOCIAL WORK II
MPL231,INDIAN PHILOSOPHY 3: SIX SYSTEMS
MPL232,"INDIAN PHILOSOPHY 4: BUDDHISM, JAINISM, AND SIKHISM"
MPL233,WESTERN PHILOSOPHY 3: MODERN
MPL234,WESTERN PHILOSOPHY 4: EXISTENTIALISM AND PHENOMENOLOGY
MPL235,PHILOSOPHY OF HUMAN PERSON AND MIND
MPL236,PHILOSOPHY OF RELIGION
MPL241,GENERAL PSYCHOLOGY
MPL242,FIDES ET RATIO
MPL243,LANGUAGE: GERMAN
MPL251,TUTORIAL I: CLASSICS IN PHILOSOPHY
MPL431,EPISTEMOLOGY
MPL432,INDIAN PHILOSOPHY 5: CONTEMPORARY
MPL433,APPLIED ETHICS
MPL441,PHILOSOPHY OF HUMAN RIGHTS AND EDUCATION
MPL452,PHILOSOPHY OF SUBALTERN MOVEMENTS
MPL453,FEMINIST PERSPECTIVES IN PHILOSOPHY
MPL481,COMPREHENSIVE WRITTEN EXAM
MPL482,COMPREHENSIVE VIVA VOCE
MPL483,THESIS
MTG231,THEOLOGY OF REVELATION AND FAITH
MTG232,THEOLOGICAL ANTHROPOLOGY
MTG233,PENTATEUCH AND HISTORICAL BOOKS
MTG234,MEDIEVAL AND MODERN CHURCH HISTORY
MTG235,CHRISTIAN ETHICS II AND THEOLOGY OF JUSTICE
MTG236,GOSPEL OF LUKE AND ACTS OF THE APOSTLES
MTG431,THEOLOGY OF PSALMS AND WISDOM LITERATURE
MTG432,THEOLOGY OF THE CHURCH AND ECUMENISM
MTG433,INDIAN CHRISTIAN THEOLOGY
MTG434,CHRISTOLOGY
MTG435,THEOLOGY OF SPIRITUAL LIFE
MTG436,EASTERN THEOLOGY AND EUCHARISTIC LITURGY
MTG437,TRINITY AND ESCHATOLOGY
MTG631,THEOLOGY OF THE EUCHARIST
MTG632,THEOLOGY OF MISSIONS AND RELIGIONS AND THEOLOGY OF THE ORDAINED MINISTRY
MTG633,MARIOLOGY
MTG634,THEOLOGY OF PASTORAL MINISTRY AND THEOLOGY OF PASTORAL COUNSELLING
MTG671,THESIS
MTG681,COMPREHENSIVE WRITTEN
MTG682,COMPREHENSIVE VIVA VOCE
MAIS21,SOUTH ASIAN STUDIES
MAIS22,INTERNATIONAL POLITICAL ECONOMY
MAIS23,POLITICAL THEORY
MAIS24,"FOREIGN POLICY OF US,CHINA AND RUSSIA"
MAIS25,SOUTH EAST ASIAN STUDIES
MAIS26,FOREIGN LANGUAGE (FRENCH)
MAIS41,EUROPEAN STUDIES
MAIS42,CONFLICT RESOLUTION AND PEACE STUDIES
MAIS43,AFRICAN STUDIES
MAIS44,WEST ASIA IN INTERNATIONAL AFFAIRS
MAIS45,DISSERTATION
MRL231,FUNDAMENTAL THEOLOGY OF FORMS OF CHRISTIAN LIFE
MRL232,"FORMATIVE FOUNDATIONS, STAGES AND PROCESS"
MRL233,CONSECRATED LIFE IN THE DOCUMENTS OF THE CHURCH AND CANON LAW
MRL245,MARIOLOGY AND CONSECRATED LIFE
MRL246,ECOLOGY AND CONSECRATED LIFE
MRL271,SEMINAR: CONSECRATED LIFE WEEK - I
MRL272,ASHRAM EXPERIENCE
MRL431,FUNDAMENTAL THEOLOGY OF FORMS OF CHRISTIAN LIFE
MRL432,"FORMATIVE FOUNDATIONS, STAGES AND PROCESS"
MRL433,CONSECRATED LIFE IN THE DOCUMENTS OF THE CHURCH AND CANON LAW
MRL445,MARIOLOGY AND CONSECRATED LIFE
MRL446,ECOLOGY AND CONSECRATED LIFE
MRL462,DISSERTATION AND DEFENCE
MRL471,SEMINAR: CONSECRATED LIFE WEEK - II
MCO212,JOURNAL CLUB
MCO221,CURRENT AFFAIRS
MCO231,BUSINESS ETHICS AND CORPORATE GOVERNANCE (BY RESEARCH)
MCO232,BUSINESS INFORMATION SYSTEM
MCO233,DIRECT TAXES
MCO234,FINANCIAL MANAGEMENT
MCO235,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT
MCO236,INTERNATIONAL FINANCE AND INSTITUTIONS
MCO281,SOCIAL BASED MICRO PROJECT
MCO411,JOURNAL CLUB
MCO431,INTERNATIONAL BUSINESS
MCO432,CORPORATE AND ALLIED LAWS
MCO433,INTERNSHIP AND TEACHING PRACTICES
MCO441A,ADVANCED TAXATION
MCO441B,MARINE AND LIABILITY INSURANCE
MCO442A,INDIRECT TAXES
MCO442B,MOTOR INSURANCE
MCO443A,CORPORATE AUDITING
MCO443B,HEALTH AND MISCELLANEOUS INSURANCE
MCO481,PROJECT AND VIVA (BASED ON THE SPECIALIZATION)
MCA231,MICROPROCESSORS AND INTERFACING TECHNIQUES
MCA232,DATA STRUCTURES
MCA233,RELATIONAL DATABASE MANAGEMENT SYSTEM
MCA234,DISCRETE MATHEMATICAL STRUCTURES
MCA235,ACCOUNTING AND FINANCIAL MANAGEMENT
MCA241A,INTRODUCTION TO MATLAB PROGRAMMING
MCA241B,R PROGRAMMING
MCA241D,PYTHON PROGRAMMING
MCA241E,NETWORK SIMULATION USING NS2
MCA241F,HADOOP
MCA251,ASSEMBLY LANGUAGE PROGRAMMING LAB
MCA252,DATA STRUCTURES LAB
MCA431,PROGRAMMING IN JAVA
MCA432,MOBILE APPLICATIONS
MCA441C,MULTIMEDIA SYSTEM AND APPLICATIONS
MCA441D,SOFTWARE QUALITY AND TESTING
MCA441H,DATA MINING
MCA442A,WEB ENGINEERING
MCA442B,NETWORK SECURITY
MCA442C,DATA WAREHOUSING
MCA451,JAVA PROGRAMMING LAB
MCA452,COMPUTER ARCHITECTURE PROJECT LAB
MCA453C,MULTIMEDIA LAB
MCA453D,SOFTWARE QUALITY AND TESTING LAB
MCA453H,DATA MINING LAB
MCA471,SEMINAR - I
MCA472,RESEARCH - DATA COLLECTION
MCA651,INDUSTRY PROJECT
MCA671,RESEARCH - PUBLICATION
LLM03CAL,"GLOBALIZATION, LAW AND JUSTICE"
LLM04CAL,DISSERTATION
LLM09CAL,MEDIA LAW
LLM10CAL,HEALTH LAW
LLM11CAL,LOCAL SELF-GOVERNMENT LAW
LLM12CAL,SEMINAR ON CONTEMPORARY ISSUES
LLM13CAL,PRACTICAL - (TEACHING PRACTICE)
LLM03CCL,"GLOBALIZATION, LAW AND JUSTICE"
LLM04CCL,DISSERTATION
LLM09CCL,INVESTMENT LAWS
LLM10CCL,INTELLECTUAL PROPERTY LAW
LLM11CCL,CORPORATE GOVERNANCE
LLM12CCL,SEMINAR ON CONTEMPORARY ISSUES
LLM13CCL,PRACTICAL - (TEACHING PRACTICE)
LLM03IPL,"GLOBALIZATION, LAW AND JUSTICE"
LLM04IPL,DISSERTATION
LLM09IPL,INVESTMENT LAWS
LLM10IPL,LAW OF PATENTS AND DESIGNS
LLM11IPL,LAW OF TRADEMARKS AND GI
LLM12IPL,SEMINAR ON CONTEMPORARY ISSUES
LLM13IPL,PRACTICAL - (TEACHING PRACTICE)
MPL-DISSERT,DISSERTATION AND VIVA VOCE
RCH231,MODERN METHODS OF CHEMISTRY
RCH261,COORDINATION CHEMISTRY
RCH262,MODERN SYNTHETIC METHODS IN ORGANIC CHEMISTRY
RCM235,TRENDS IN ACCOUNTING AND FINANCE
RCM237A,SECURITY ANALYSIS AND PORTFOLIO MANAGEMENT
RCM237B,EMPLOYEE CAREER ORIENTATION AND RETENTION STRATEGY
RCM237C,DIGITAL MARKETING
RCM237D,PRINCIPLES AND PRACTICE OF BANKING
RCM237E,BANKING
RCM237F,RETAILING
RCM237G,ENTREPRENEURSHIP DEVELOPMENT
RCM237H,ENTREPRENEURSHIP AND EMPLOYEE PERFORMANCE MANAGEMENT
RCM237I,RETAIL MANAGEMENT
RCM237J,MARKETING MANAGEMENT
RCM237K,DERIVATIVES AND INDIAN FINANCIAL MARKET
RCM237L,DIRECT AND INDIRECT TAXES
RCM237M,CAREER DEVELOPMENT
RCM237N,INTERNATIONAL FINANCE
RCS231,ADVANCED COMPUTING TECHNIQUES
RCS248A,MACHINE INTELLIGENCE
RCS248B,MEDICAL IMAGE PROCESSING
RCS248C,BIOMEDICAL IMAGE ANALYSIS
RCS248D,SOFTWARE METHODOLOGIES AND CONTINUOUS DELIVERY SYSTEM
RCS248E,BIG DATA ANALYTICS
RCS248F,MEDICAL IMAGE PROCESSING IN CLOUD PLATFORM
REC231,ADVANCED QUANTITATIVE TECHNIQUES IN ECONOMICS
REC233,"RESEARCH ISSUES IN INDIAN ECONOMY: AGRICULTURE, INDUSTRY AND FINANCIAL SECTOR"
RED232,EDUCATIONAL PSYCHOLOGY
RED235A,UNDERSTANDING THE LEARNER AND SOCIETY
RED235B,EDUCATIONAL TECHNOLOGY
RED235C,TEACHING AND LEARNING
RED235D,INNOVATIVE TECHNIQUES IN PEDAGOGY OF ENGLISH
RED235E,PEDAGOGY OF ENGLISH
RED361,DISSERTAION
REN235,LINGUISTICS
REN239,POSTCOLONIAL INDIA: CONTEXTUALIZING FRONTIERS AND BORDERS OF IDENTITY
REN240,FILM AND CULTURAL STUDIES
REN241,VISUAL AND POPULAR CULTURE
REN242,RHETORIC OF POETRY
REN243,RHETORIC OF NOVEL
REN244,ENGLISH LANGUAGE TEACHING
REN331,"RESEARCH PROPOSAL WORK IN PROGRESS, DISSERTATION AND VIVA VOCE"
RIS231,ADVANCED INTERNATIONAL THEORY AND GLOBALIZATION
RIS232A,INDIA'S MARITIME SECURITY
RIS232B,CONFLICT RESOLUTION AND PEACE STUDIES
RMM231,CONTEMPORARY MANAGEMENT PRACTICES
RMM232,CAREER COMMITMENT AND DISRUPTIVE TECHNOLOGIES
RMM233,FINANCIAL PLANNING
RMM234,ORGANIZATIONAL WORK ENVIRONMENT AND EMPLOYEES PERFORMANCE
